Facility Type,Facility Number,FAC_N2,FAC_ID_Z,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Latitude,Longitude,WUICLASS10,HAZ_CLASS,Risk,Duplicate address
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430700136,430700136,CA430700136,CHANNING HOUSE,CHANNING HOUSE,"MATSUMOTO, MELVIN",(650) 327-0950,850 WEBSTER STREET,PALO ALTO,CA,94301,SANTA CLARA,26,264,LICENSED,3/20/1993,,37.446417,-122.154008,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421702848,421702848,CA421702848,COVENANT LIVING AT THE SAMARKAND,COVENANT LIVING WEST,LAURIE SMALL,(805) 687-0701,2550 TREASURE DRIVE,SANTA BARBARA,CA,93105,SANTA BARBARA,29,379,LICENSED,4/6/1993,,34.429513,-119.730175,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,500301453,500301453,CA500301453,COVENANT LIVING OF TURLOCK,COVENANT LIVING WEST,CHARLES W. JOHNSON,(209) 632-9976,2125 N OLIVE,TURLOCK,CA,95382,STANISLAUS,27,377,LICENSED,6/19/1989,,37.512627,-120.840728,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,370800394,370800394,CA370800394,COVENANT VILLAGE AT MOUNT MIGUEL,COVENANT LIVING WEST,RICHARD MILLER,(619) 479-4790,325 KEMPTON STREET,SPRING VALLEY,CA,91977,SAN DIEGO,8,434,LICENSED,4/9/1993,,32.702317,-117.000547,High_Dens_Interface,Moderate,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306002255,306002255,CA306002255,"COVINGTON, THE",EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS,EILEEN LEA DAVIS,(949) 389-8500,3 PURSUIT,ALISO VIEJO,CA,92656,ORANGE,22,343,LICENSED,5/20/2004,,33.553097,-117.727293,High_Dens_Interface,Very High,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803820,496803820,CA496803820,ENSO VILLAGE,"KENDAL AT SONOMA, A ZEN INSPIRED COMMUNITY","HELMAN, DOUGLAS",(610) 335-1247,16977 HEALDSBURG AVE,HEALDSBURG,CA,95448,SONOMA,21,54,PENDING,,,38.645605,-122.871491,Uninhabited_NoVeg,Moderate,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,340313383,340313383,CA340313383,ESKATON VILLAGE,ESKATON; ESKATON PROPERTIES INC,"KLICK, GREG",(916) 974-2000,3939 WALNUT AVE,CARMICHAEL,CA,95608,SACRAMENTO,27,500,LICENSED,3/23/1992,,38.636429,-121.347424,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270700245,270700245,CA270700245,FOREST HILL,CALIFORNIA-NEVADA METHODIST HOMES,ROSETTA W. CHAN,(831) 657-5200,551 GIBSON AVENUE,PACIFIC GROVE,CA,93950,MONTEREY,26,150,LICENSED,1/29/1974,,36.615539,-121.9189,High_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,275202748,275202748,CA275202748,FOREST HILL,FOREST HILL OPCO LLC; LIFE CARE SERVICES LLC,"CHAN, ROSETTA",(831) 657-5200,551 GIBSON AVENUE,PACIFIC GROVE,CA,93950,MONTEREY,26,150,PENDING,,,36.615539,-121.9189,High_Dens_NoVeg,Urban Unzoned,Ok,Duplicate address
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200344,435200344,CA435200344,"FORUM AT RANCHO SAN ANTONIO, THE","RSARHC, RSARS INC. & LIFE CARE SERVICES LLC",NANCY KAO,(650) 944-0112,23500 CRISTO REY DRIVE,CUPERTINO,CA,95014,SANTA CLARA,26,741,LICENSED,9/24/1996,,37.33717,-122.086722,High_Dens_Interface,High,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803440,496803440,CA496803440,FOUNTAINGROVE LODGE,"FOUNTAINGROVE LODGE, OSL LLC; OAKMONT MGT GROUP","FISHER, LINDA",(707) 576-1101,4210 THOMAS LAKE HARRIS DR,SANTA ROSA,CA,95403,SONOMA,21,173,LICENSED,11/22/2013,,38.487191,-122.722202,Med_Dens_Intermix,Moderate,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336410693,336410693,CA336410693,"FOUNTAINS AT THE CARLOTTA, THE",FOUNTAINS GEN.PTNR/SR.LVNG HLDGS LLC/WATERMARK RET,VICTORIA DOMINGO,(760) 346-5420,41-505 CARLOTTA DRIVE,PALM DESERT,CA,92211,RIVERSIDE,18,250,CLOSED,12/8/2006,6/1/2015,33.746559,-116.3441,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336426769,336426769,CA336426769,"FOUNTAINS AT THE CARLOTTA, THE",WATERMARK CARLOTTA LLC/WATERMARK RETIRE. COMM. INC,RONALD F. ELLENICH,(760) 346-5420,41505 CARLOTTA DR.,PALM DESERT,CA,92211,RIVERSIDE,18,250,LICENSED,6/1/2015,,33.745909,-116.345955,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197607880,197607880,CA197607880,FOUNTAINVIEW AT EISENBERG VILLAGE,"FOUNTAINVIEW AT EISENBERG VLG,LLC.& EVLAJHA,INC.","HERNANDEZ,AMBER",(818) 774-3000,6440 WILBUR AVENUE,RESEDA,CA,91335,LOS ANGELES,31,216,LICENSED,2/23/2010,,34.187375,-118.544605,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300606831,300606831,CA300606831,FREEDOM VILLAGE,"MURPHY,N.,SHEAM,G.,KUBICKA,C.,KUBICKA,L.,FPW,LLC",MARIANNE CASINO/ J.NIBLETT,(949) 472-4733,23442 EL TORO ROAD,LAKE FOREST,CA,92630,ORANGE,22,533,LICENSED,7/23/1987,,33.621392,-117.697482,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496801929,496801929,CA496801929,FRIENDS HOUSE,FRIENDS ASSOC OF SVCS FOR THE ELDERLY; COVIA GROUP,"ALLEN, CLARA",(707) 538-0152,684 BENICIA DRIVE,SANTA ROSA,CA,95409,SONOMA,21,120,LICENSED,12/27/2006,,38.472072,-122.672642,High_Dens_Interface,Urban Unzoned,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603600,374603600,CA374603600,"GLEN AT SCRIPPS RANCH, THE",GLEN AT SCRIPPS RANCH CCRC LLC; LIFE CARE SERVICES,"KLINE, MEEGAN",(858) 444-8500,9800 GLEN CENTER DRIVE,SAN DIEGO,CA,92131,SAN DIEGO,8,403,LICENSED,12/23/2019,,32.906628,-117.081693,High_Dens_Interface,Very High,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400246,11400246,CA011400246,GRAND LAKE GARDENS,HUMANGOOD & HUMANGOOD NORCAL,"BRANDMEIER, PHILIP",(510) 893-8897,401 SANTA CLARA AVENUE,OAKLAND,CA,94610,ALAMEDA,15,135,LICENSED,1/25/1985,,37.812992,-122.249099,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,380500295,380500295,CA380500295,HERITAGE ON THE MARINA,SAN FRANCISCO LADIES' PROTECTION & RELIEF SOCIETY,KEN D. DONNELLY,(415) 202-0300,3400 LAGUNA ST.,SAN FRANCISCO,CA,94123,SAN FRANCISCO,14,104,LICENSED,6/25/1975,,37.802903,-122.431016,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191800001,191800001,CA191800001,HOLLENBECK PALMS,HOLLENBECK PALMS,"HEIDEMAN, WILLIAM G.",(323) 263-6195,573 S. BOYLE AVE,LOS ANGELES,CA,90033,LOS ANGELES,28,171,LICENSED,4/16/1993,,34.04034,-118.21997,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,405802282,405802282,CA405802282,IL VILLAGGIO AT SAN LUIS OBISPO,II VILLAGGIO AT SAN LUIS OBISPO LLC LIFE CARE SERV,TBD,(805) 996-0580,LOS OSOS VALLEY ROAD,SAN LUIS OBISPO,CA,93401,SAN LUIS OBISPO,29,400,PENDING,,,35.242362,-120.67816,Med_Dens_Interface,Urban Unzoned,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,360902944,360902944,CA360902944,"INLAND CHRISTIAN HOME, INC","INLAND CHRISTIAN HOME, INC",MARY WOLFF,(909) 983-0084,1950 SOUTH MOUNTAIN AVENUE,ONTARIO,CA,91762,SAN BERNARDINO,18,297,LICENSED,2/20/1994,,34.037967,-117.67094,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600637,374600637,CA374600637,LA COSTA GLEN CARLSBAD,LA COSTA GLEN CARLSBAD CCRC LLC/LIFE CARE SVCS LLC,"KASIN, KEITH",(760) 704-1000,1950 SILVERLEAF CIRCLE,CARLSBAD,CA,92009,SAN DIEGO,8,1233,LICENSED,2/11/2003,,33.075851,-117.26819,High_Dens_NoVeg,Non-Wildland/Non-Urban,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400369,11400369,CA011400369,LAKE PARK,CALIFORNIA - NEVADA METHODIST HOMES,MINDY HAN,(510) 835-5511,1850 ALICE,OAKLAND,CA,94612,ALAMEDA,15,275,LICENSED,6/28/1993,,37.805266,-122.264027,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,19200943,19200943,CA019200943,LAKE PARK,LAKE PARK OPCO LLC; LIFE CARE SERVICES LLC,"HAN, MINDY",(510) 835-5511,1850 ALICE STREET,OAKLAND,CA,94612,ALAMEDA,15,275,PENDING,,,37.805266,-122.264027,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200941,435200941,CA435200941,LINCOLN GLEN ASSISTED LIVING CENTER,"LINCOLN GLEN MANOR FOR SENIOR CITIZENS, INC.",DIANE ELDRIDGE,(408) 267-4872,2671 PLUMMER AVENUE,SAN JOSE,CA,95125,SANTA CLARA,26,93,LICENSED,10/13/2001,,37.276259,-121.894993,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430700382,430700382,CA430700382,LOS GATOS MEADOWS,COVIA COMMUNITIES,"ICHIEN, CHRISTOPHER",(408) 354-0211,110 WOOD ROAD,LOS GATOS,CA,95030,SANTA CLARA,26,229,CLOSED,6/10/1993,9/30/2019,37.221002,-121.987403,Med_Dens_Interface,Very High,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501682,191501682,CA191501682,MARGUERITE GARDENS,CALIFORNIA P.E.O HOME CORPORATION,KRISTIS FERRIS,(626) 300-0400,700 NORTH STONEMAN AVENUE,ALHAMBRA,CA,91801,LOS ANGELES,28,113,CLOSED,2/14/1983,6/18/2015,34.102553,-118.129927,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11440129,11440129,CA011440129,MASONIC HOME FOR ADULTS,MASONIC HOMES OF CALIFORNIA,JOSEPH PRITCHARD,(510) 471-3434,34400 MISSION BLVD.,UNION CITY,CA,94587,ALAMEDA,15,242,LICENSED,2/3/1993,,37.597566,-122.005396,Med_Dens_Intermix,High,Risky,Duplicate address
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191592287,191592287,CA191592287,MASONIC HOMES FOR ADULTS,MASONIC HOMES OF CALIFORNIA,JUDY FIGUEROA,(626) 251-2200,1650 EAST OLD BADILLO ST,COVINA,CA,91724,LOS ANGELES,28,112,LICENSED,5/1/1989,,34.086323,-117.858627,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603081,374603081,CA374603081,MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY,MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY,MARK MEMMELAAR,(760) 746-2500,100 HOLLAND GLEN,ESCONDIDO,CA,92026,SAN DIEGO,8,200,LICENSED,11/18/2010,,33.157296,-117.092821,Uninhabited_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,286801070,286801070,CA286801070,"MEADOWS OF NAPA VALLEY, THE",ODD FELLOWS HOME OF CALIFORNIA; PRS MGMT INC,"PANCHESSON, WAYNE",(707) 257-7885,1800 ATRIUM PARKWAY,NAPA,CA,94559,NAPA,21,350,LICENSED,7/31/2002,,38.275322,-122.294623,High_Dens_Interface,Moderate,Risky,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15600255,15600255,CA015600255,MERCY RETIREMENT & CARE CENTER,MERCY RET & CARE CTR AND ELDER CARE ALLIANCE,TAMRA SCHMUTZLER,(510) 534-8540,3431 FOOTHILL BOULEVARD,OAKLAND,CA,94601,ALAMEDA,15,160,LICENSED,3/11/1999,,37.781982,-122.220314,Med_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435294340,435294340,CA435294340,MOLDAW FAMILY RESIDENCES AT 899 CHARLESTON,899 CHARLESTON/JEWISH SENIOR LIVING GROUP,ALEXANDER BEN ISRAEL,(650) 433-3600,899 EAST CHARLESTON ROAD,PALO ALTO,CA,94303,SANTA CLARA,26,270,LICENSED,10/22/2009,,37.422525,-122.102841,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191222411,191222411,CA191222411,MONTE VISTA GROVE HOMES,MONTE VISTA GROVE HOMES,DEBORAH A HERBERT,(626) 796-6135,2889 SAN PASQUAL STREET,PASADENA,CA,91107,LOS ANGELES,28,26,LICENSED,12/2/1992,,34.138786,-118.091103,High_Dens_NoVeg,Urban Unzoned,Ok,FALSE
