Facility Number,Visit Date,V Month,V Date,V Year,Facility Name,Address,City,Zip,County,State,Telephone,Facility Type,Section Cited,General section
197608144,1/8/2016,1,8,2016,TWIN HEARTS CARE HOME,5803 TROOST AVENUE,NORTH HOLLYWOOD,91601,Los Angeles,CA,(818) 237-6934,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197602565,2/2/2016,2,2,2016,GARDEN OF ANGEL CARE,2000 BUTLER AVE.,WEST LOS ANGELES,90025,Los Angeles,CA,(310) 231-7815,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374602117,2/9/2016,2,9,2016,TOMAS RESIDENTIAL CARE,6344 JOUGLARD ST,SAN DIEGO,92114,San Diego,CA,(619) 434-5235,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
347005369,3/22/2016,3,22,2016,ALMOND HOME CARE,6701 ALMOND AVENUE,ORANGEVALE,95662,Sacramento,CA,(916) 817-1668,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
385600118,4/5/2016,4,5,2016,BESTUDIO'S CARE HOME FOR THE ELDERLY,51 DE LONG STREET,SAN FRANCISCO,94112,San Francisco,CA,(650) 755-1498,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
385600007,5/6/2016,5,6,2016,GOLDEN RESIDENTIAL CARE HOME,166 FOOTE AVENUE,SAN FRANCISCO,94112,San Francisco,CA,(415) 587-2507,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306001894,5/17/2016,5,17,2016,MIRABEL BY THE SEA,26961 CALLE GRANADA,CAPISTRANO BEACH,92624,Orange,CA,(949) 496-6689,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197608978,5/18/2016,5,18,2016,FAIRWEATHER ASSISTED SENIOR CARE,19343 FAIRWEATHER,CANYON COUNTRY,91351,Los Angeles,CA,(661) 810-7372,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75600323,5/27/2016,5,27,2016,GOLDEN CARE HOME,3579 SKYLARK DRIVE,CONCORD,94520,Contra Costa,CA,(925) 687-7394,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
366425370,6/14/2016,6,14,2016,ROSE VILLA,11906 KINGSTON STREET,GRAND TERRACE,92313,San Bernardino,CA,(909) 825-7673,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197603599,6/19/2016,6,19,2016,BEST ELDER CARE,37620 SIMI STREET,PALMDALE,93552,Los Angeles,CA,(661) 533-9766,740 - RESIDENTIAL CARE ELDERLY,87212,EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
366426745,7/11/2016,7,11,2016,GRACE HOUSE ELDER CARE LLC,605 MALTBY BOULEVARD,BIG BEAR CITY,92314,San Bernardino,CA,(909) 286-0330,740 - RESIDENTIAL CARE ELDERLY,87212(b)(1),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197607941,7/14/2016,7,14,2016,OLIVE TREE,1035 OLIVE AVENUE,LONG BEACH,90813,Los Angeles,CA,(562) 432-1163,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15601429,8/3/2016,8,3,2016,RAKSHA 4 CARE HOME,616 STANNAGE AVENUE,ALBANY,94706,Alameda,CA,(510) 912-6244,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374601222,8/18/2016,8,18,2016,FAMILY RESORT REST HOME INC.,3014 EL KU AVENUE,ESCONDIDO,92025,San Diego,CA,(760) 489-0415,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15600507,8/19/2016,8,19,2016,C & R HOME FOR THE ELDERLY,34819 CLOVER STREET,UNION CITY,94587,Alameda,CA,(510) 324-0627,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
336403188,8/26/2016,8,26,2016,SHEPHERD WATCH ELDERLY CARE HOME,3180 W. GEORGE ST.,BANNING,92220,Riverside,CA,(951) 849-6289,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
336412251,9/9/2016,9,9,2016,ANGEL MORONI COTTAGE,597 NORTH SUNRISE AVENUE,BANNING,92220,Riverside,CA,(951) 922-2861,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
336413286,9/12/2016,9,12,2016,AGUA DULCE HOME CARE,66147 S. AGUA DULCE DR.,DESERT HOT SPRINGS,92240,Riverside,CA,(760) 251-7842,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197608163,9/22/2016,9,22,2016,NEW HAVEN AT THE WILLOWS II,28015 OAKLAR DRIVE,SAUGUS,91350,Los Angeles,CA,(661) 360-7395,740 - RESIDENTIAL CARE ELDERLY,87212,EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306004264,9/26/2016,9,26,2016,GOOD HANDS HOME CARE - FOUNTAIN VALLEY,18674 SAN FELIPE STREET,FOUNTAIN VALLEY,92708,Orange,CA,(714) 964-9682,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197606738,10/11/2016,10,11,2016,AQUAMARINE RETIREMENT HOME,6523 W. AVENUE L-7,LANCASTER,93536,Los Angeles,CA,(661) 943-3642,740 - RESIDENTIAL CARE ELDERLY,87212(a)(1),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197606738,10/11/2016,10,11,2016,AQUAMARINE RETIREMENT HOME,6523 W. AVENUE L-7,LANCASTER,93536,Los Angeles,CA,(661) 943-3642,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75601313,10/20/2016,10,20,2016,CYPRESS MANOR GUEST HOME,1712 GEARY ROAD,WALNUT CREEK,94597,Contra Costa,CA,(925) 210-1922,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306004237,10/24/2016,10,24,2016,SOUTH COAST MANOR C,10452 MILDRED AVENUE,GARDEN GROVE,92843,Orange,CA,(714) 583-8031,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
366401879,10/31/2016,10,31,2016,SUNSHINE BOARD & CARE,11511 POPLAR STREET,LOMA LINDA,92354,San Bernardino,CA,(909) 328-2655,740 - RESIDENTIAL CARE ELDERLY,87212(b)(1),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15601506,11/4/2016,11,4,2016,MONTGOMERY SPRINGS MANOR,22107 MONTGOMERY STREET,HAYWARD,94541,Alameda,CA,(510) 889-8556,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15601207,11/8/2016,11,8,2016,TRI CITY CARE HOME,2438 DOUGLAS STREET,UNION CITY,94587,Alameda,CA,(510) 324-0999,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
380540068,11/28/2016,11,28,2016,SANTIAGO HOME CARE,152 HAROLD STREET,SAN FRANCISCO,94112,San Francisco,CA,(415) 333-8964,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15601242,12/15/2016,12,15,2016,HEART & SOUL COMMUNITIES,3770 SUTER STREET,OAKLAND,94619,Alameda,CA,(510) 927-8046,740 - RESIDENTIAL CARE ELDERLY,87212,EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
198204376,12/15/2016,12,15,2016,MOUNTAIN VIEW COTTAGES - IV,21027 COVINA BLVD.,COVINA,91724,Los Angeles,CA,(626) 966-4842,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
525002021,12/15/2016,12,15,2016,VINTAGE ROSE INN,130 GURNSEY AVENUE,RED BLUFF,96080,Tehama,CA,(530) 529-0717,740 - RESIDENTIAL CARE ELDERLY,87212(d),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
107203181,12/22/2016,12,22,2016,"MUM'S HOME SWEET HOME 2, INC.",6711 N. SIERRA VISTA AVENUE,FRESNO,93710,Fresno,CA,(559) 299-7520,740 - RESIDENTIAL CARE ELDERLY,87212 (a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
45002565,1/5/2017,1,5,2017,SANDY'S HELPING HANDS,112 GRAND AVENUE,OROVILLE,95965,Butte,CA,(530) 693-4028,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
366425610,1/25/2017,1,25,2017,EXCELCARE,11400 POPLAR STREET,LOMA LINDA,92354,San Bernardino,CA,(909) 796-4553,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75601419,2/28/2017,2,28,2017,HALCYON CARE HOME,1024 MT. VIEW BLVD.,WALNUT CREEK,94596,Contra Costa,CA,(415) 244-0985,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
71441150,3/23/2017,3,23,2017,CASTLE CREST HOME II,1516 CASTLE HILL ROAD,WALNUT CREEK,94595,Contra Costa,CA,(925) 946-0445,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
425801777,3/23/2017,3,23,2017,"COMFORTS OF HOME SENIOR CARE, INC.",16 SAN DIMAS AVENUE,SANTA BARBARA,93111,Santa Barbara,CA,(805) 451-5027,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
425800511,4/6/2017,4,6,2017,CASA NAOMI,855 N. PATTERSON AVE.,SANTA BARBARA,93111,Santa Barbara,CA,(805) 681-9567,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
507005342,4/8/2017,4,8,2017,"BEST QUALITY LIFE CARE, INC.",2608 VENEMAN AVENUE,MODESTO,95356,Stanislaus,CA,(209) 765-1441,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197608447,4/19/2017,4,19,2017,THELMA'S PLATINUM INC. IV,28839 CALABRIA DRIVE,AGOURA HILLS,91301,Los Angeles,CA,(818) 961-6121,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
79200366,4/21/2017,4,21,2017,GRANDMA AND GRANDPAS PLACE,6400 BRENTWOOD BLVD,BRENTWOOD,94513,Contra Costa,CA,(818) 687-6877,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75601062,4/25/2017,4,25,2017,BETTER LIVING CARE HOME,106 VIVIAN DRIVE,PLEASANT HILL,94523,Contra Costa,CA,(925) 674-8820,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
374600245,5/11/2017,5,11,2017,FAMILY-STYLE CARE,2875 MORNINGSIDE STREET,SAN DIEGO,92139,San Diego,CA,(619) 472-5202,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
366409483,5/23/2017,5,23,2017,VINE GARDEN RESIDENTIAL CARE,18211 VINE ST.,HESPERIA,92345,San Bernardino,CA,(760) 949-8515,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2)(E),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
425801205,6/19/2017,6,19,2017,CARNATE BOARD & CARE #3,831 WEST PERSHING STREET,SANTA MARIA,93458,Santa Barbara,CA,(805) 260-9941,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
198202296,6/21/2017,6,21,2017,ELEANOR'S RESIDENTIAL HOME,4926 SHENANDOAH AVE,LOS ANGELES,90056,Los Angeles,CA,(310) 216-9422,740 - RESIDENTIAL CARE ELDERLY,87212(a)(b),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15600549,6/27/2017,6,27,2017,EDEN GARDENS CARE HOME,3263 SANTA CLARA COURT,UNION CITY,94587,Alameda,CA,(510) 400-9373,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
97000410,7/13/2017,7,13,2017,PLEASANT CARE HOME,4880 RIVENDALE ROAD,PLACERVILLE,95667,El Dorado,CA,(530) 644-7540,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
425801756,8/9/2017,8,9,2017,"TREE OF LIFE RETIREMENT HOMES, INC.",5364 BERKELEY ROAD,SANTA BARBARA,93111,Santa Barbara,CA,(805) 452-9800,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306003824,8/16/2017,8,16,2017,IRVINE COTTAGE #8,40 CYPRESS TREE LANE,IRVINE,92612,Orange,CA,(949) 654-4370,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
336425980,8/17/2017,8,17,2017,"ROCKFORD HOUSE, THE",25467 ROCKFORD ST.,HEMET,92544,Riverside,CA,(951) 654-8423,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306002306,9/19/2017,9,19,2017,TUSTIN RANCH VILLA,12911 BROWNING AVENUE,SANTA ANA,92705,Orange,CA,(714) 730-9624,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15600386,9/20/2017,9,20,2017,HARTNELL HOME CARE,2041 HARTNELL STREET,UNION CITY,94587,Alameda,CA,(510) 489-7290,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
11440289,10/12/2017,10,12,2017,DIANA'S CARE HOME,27402 MANON AVE,HAYWARD,94544,Alameda,CA,(510) 786-9982,740 - RESIDENTIAL CARE ELDERLY,87212(a)(b),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
19200462,10/16/2017,10,16,2017,JULIAN FAMILY CAREHOME,26798 CONTESSA STREET,HAYWARD,94545,Alameda,CA,(510) 783-5216,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15601287,10/19/2017,10,19,2017,JOY'S HOME CARE,2420 COLUMBINE COURT,HAYWARD,94545,Alameda,CA,(650) 892-4855,740 - RESIDENTIAL CARE ELDERLY,87212,EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
19200652,10/25/2017,10,25,2017,HIGH COUNTRY ELDERLY CARE,27965 HIGH COUNTRY DRIVE,HAYWARD,94542,Alameda,CA,(510) 582-6397,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
306001313,10/30/2017,10,30,2017,HELENA GARDENS,13762 PALACE WAY,TUSTIN,92780,Orange,CA,(714) 544-9632,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
15601226,11/2/2017,11,2,2017,PACIFIC CARE HOME,27671 MIAMI AVENUE,HAYWARD,94545,Alameda,CA,(510) 265-1530,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
11441162,11/8/2017,11,8,2017,GALICIA'S TULIP CARE HOME #2,745 CINNAMON COURT,HAYWARD,94544,Alameda,CA,(510) 783-4888,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
19200513,11/16/2017,11,16,2017,PACIFICA SENIOR LIVING OAKLAND,"2330, 2350, 2361 E 29TH ST",OAKLAND,94606,Alameda,CA,(510) 534-3637,740 - RESIDENTIAL CARE ELDERLY,87212(b)(2),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
11441104,11/29/2017,11,29,2017,CASTRO VILLAGE CARE HOME,3634 JAMISON WAY,CASTRO VALLEY,94546,Alameda,CA,(510) 888-0301,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
415600766,11/30/2017,11,30,2017,PARK AVENUE CARE HOME 2,1616 ELEANOR DRIVE,SAN MATEO,94402,San Mateo,CA,(650) 931-4633,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197600353,12/9/2017,12,9,2017,ANNE'S HOME,10919 GOSS STREET,SUN VALLEY,91352,Los Angeles,CA,(818) 771-0953,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
75600966,12/26/2017,12,26,2017,BETTER LIVING OF WALNUT CREEK,1868 DANIELLE CT,WALNUT CREEK,94598,Contra Costa,CA,(925) 938-8820,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
561703723,1/8/2018,1,8,2018,FOUR SEASONS GUEST HOME,2130 MONTGOMERY RD.,THOUSAND OAKS,91360,Ventura,CA,(805) 496-6120,740 - RESIDENTIAL CARE ELDERLY,87212(a)(b)(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197607941,1/31/2018,1,31,2018,OLIVE TREE,1035 OLIVE AVENUE,LONG BEACH,90813,Los Angeles,CA,(562) 432-1163,740 - RESIDENTIAL CARE ELDERLY,87212(b)(1),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
197607106,2/5/2018,2,5,2018,"PAULA'S GUEST HOME, INC.",16439 PRUDENCIA DRIVE,WHITTIER,90603,Los Angeles,CA,(562) 943-3333,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
415600808,2/12/2018,2,12,2018,ALWAYS TLC,226 SANDPIPER COURT,FOSTER CITY,94404,San Mateo,CA,(650) 345-1441,740 - RESIDENTIAL CARE ELDERLY,87212(a),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
415201625,2/13/2018,2,13,2018,FIVE STAR CARE HOME,416 LANYARD DRIVE,REDWOOD CITY,94065,San Mateo,CA,(650) 592-6333,740 - RESIDENTIAL CARE ELDERLY,87212(c),EXISTING DISASTER AND MASS CASUALTY PLAN REQUIREMENTS
