County (copy),FACILITY NAME,Facility Id,COUNTY,TODAY POSITIVE RESIDENTS,CUMULATIVE POSITIVE RESIDENTS,COVID-RELATED RESIDENT DEATHS,TODAY POSITIVE HCW,CUMULATIVE POSITIVE HCW,COVID-RELATED HCW DEATHS,Record,Record (copy)
Alameda,PLEASANTON NURSING AND REHABILITATION CENTER,140000086,ALAMEDA,0,<11,<11,0,<11,0,1,1
Alameda,"PRINCETON MANOR HEALTHCARE CENTER, LLC",20000054,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,"REDWOOD CONVALESCENT HOSPITAL, INC.",20000276,ALAMEDA,0,21,<11,0,<11,0,1,1
Alameda,REDWOOD HEALTHCARE CENTER LLC,20000119,ALAMEDA,0,29,<11,0,16,0,1,1
Alameda,SAN LEANDRO HEALTHCARE CENTER,20000077,ALAMEDA,0,<11,<11,0,<11,0,1,1
Alameda,SILVER OAK MANOR,140001291,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,ST ANTHONY CARE CENTER,20000005,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,ST CHRISTOPHER CONVALESCENT HOSPITAL,20000074,ALAMEDA,12,14,0,0,<11,0,1,1
Alameda,ST FRANCIS HEALTHCARE CENTER,20000076,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,ST JOHN KRONSTADT CONVALESCENT CENTER,20000068,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,ST PAULS TOWERS,20000064,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,THE REHABILITATION CENTER OF OAKLAND,20000274,ALAMEDA,13,12,<11,0,<11,0,1,1
Alameda,THE VINEYARDS HEALTHCARE CENTER,140000122,ALAMEDA,0,0,0,<11,<11,0,1,1
Alameda,VALLEY MEMORIAL HOSPITAL D/P SNF,140000626,ALAMEDA,0,0,0,0,0,0,1,1
Alameda,VALLEY POINTE NURSING & REHABILITATION CENTER,20000066,ALAMEDA,0,<11,0,0,<11,0,1,1
Alameda,VISTA POST ACUTE,20000019,ALAMEDA,0,48,<11,0,27,0,1,1
Alameda,WASHINGTON CENTER,20000275,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,WE CARE SKILLED NURSING FACILITY,20000065,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,WINDSOR COUNTRY DRIVE CARE CENTER,20000020,ALAMEDA,0,<11,0,0,15,0,1,1
Alameda,WINDSOR GARDENS CARE CENTER OF HAYWARD,20000103,ALAMEDA,0,0,0,0,<11,0,1,1
Alameda,WINDSOR HEALTHCARE CENTER OF OAKLAND,20000277,ALAMEDA,0,<11,0,0,<11,0,1,1
Alameda,WINDSOR PARK CARE CENTER OF FREMONT,20000036,ALAMEDA,<11,16,0,0,<11,0,1,1
Alameda,WINDSOR POST-ACUTE CARE CENTER OF HAYWARD,20000071,ALAMEDA,0,30,<11,0,31,0,1,1
Amador,KIT CARSON NURSING & REHABILITATION CENTER,30000074,AMADOR,18,19,<11,0,12,0,1,1
Butte,ARBOR POST ACUTE,230000255,BUTTE,0,0,0,0,0,0,1,1
Butte,CALIFORNIA PARK REHABILITATION HOSPITAL,230000546,BUTTE,0,<11,0,0,<11,0,1,1
Butte,COUNTRY CREST POST ACUTE,230000802,BUTTE,0,<11,0,0,<11,0,1,1
Butte,ORCHARD HOSPITAL D/P SNF,230000327,BUTTE,0,0,0,0,0,0,1,1
Butte,OROVILLE HOSPITAL POST-ACUTE CENTER,230000221,BUTTE,0,0,0,0,<11,0,1,1
Butte,RIVERSIDE CONVALESCENT HOSPITAL,230000036,BUTTE,0,<11,0,0,<11,0,1,1
Butte,SHADOWBROOK POST ACUTE,230000037,BUTTE,0,0,0,0,0,0,1,1
Butte,WINDSOR CHICO CARE CENTER,230000025,BUTTE,0,0,0,0,0,0,1,1
Butte,WINDSOR CHICO CREEK CARE AND REHABILITATION CENTER,230000029,BUTTE,15,30,<11,<11,24,0,1,1
Calaveras,AVALON HEALTH CARE - SAN ANDREAS,30000012,CALAVERAS,0,<11,0,0,<11,0,1,1
Colusa,COLUSA MEDICAL CENTER - SNF,230000424,COLUSA,0,0,0,0,<11,0,1,1
Colusa,VALLEY WEST POST ACUTE,230000283,COLUSA,11,29,<11,0,39,0,1,1
Contra Costa,ALHAMBRA CONVALESCENT HOSPITAL,140000574,CONTRA COSTA,0,0,0,0,0,0,1,1
Contra Costa,ANTIOCH CONVALESCENT HOSPITAL,140000003,CONTRA COSTA,0,0,0,0,<11,0,1,1
Contra Costa,BAYBERRY SKILLED NURSING & HEALTHCARE CENTER,140000023,CONTRA COSTA,0,28,<11,0,19,0,1,1
Contra Costa,CREEKSIDE HEALTHCARE CENTER,140000138,CONTRA COSTA,0,0,0,0,0,0,1,1
Contra Costa,DANVILLE POST-ACUTE REHAB,140000130,CONTRA COSTA,0,0,0,0,<11,0,1,1
Contra Costa,DIAMOND RIDGE HEALTHCARE CENTER,140000564,CONTRA COSTA,14,14,<11,0,15,0,1,1
Contra Costa,GREENRIDGE SENIOR CARE,140000038,CONTRA COSTA,0,0,0,0,<11,0,1,1
Contra Costa,LA CASA VIA TRANSITIONAL CARE CENTER,140000051,CONTRA COSTA,0,0,0,0,0,0,1,1
Contra Costa,LEGACY NURSING AND REHABILITATION CENTER,140000102,CONTRA COSTA,0,<11,<11,0,<11,0,1,1
Contra Costa,LONE TREE CONVALESCENT HOSPITAL,140000105,CONTRA COSTA,0,0,0,0,<11,0,1,1
Contra Costa,MANOR CARE HEALTH SERVICES-TICE VALLEY,140001126,CONTRA COSTA,<11,92,14,0,39,0,1,1
Contra Costa,MANORCARE HEALTH SERVICES - ROSSMOOR,140000745,CONTRA COSTA,0,0,0,0,0,0,1,1
Contra Costa,MORAGA POST ACUTE,140000081,CONTRA COSTA,<11,11,0,0,<11,0,1,1
Contra Costa,"ORINDA CARE CENTER, LLC",140000092,CONTRA COSTA,0,40,<11,0,32,0,1,1
Contra Costa,PITTSBURG SKILLED NURSING CENTER,140000962,CONTRA COSTA,0,<11,0,0,0,0,1,1
Contra Costa,PLEASANT HILL POST ACUTE,140000096,CONTRA COSTA,15,18,0,0,13,0,1,1
Contra Costa,SAN MIGUEL VILLA,140000136,CONTRA COSTA,<11,65,20,0,17,<11,1,1
Contra Costa,SAN PABLO HEALTHCARE & WELLNESS CENTER,140000030,CONTRA COSTA,0,<11,0,0,<11,0,1,1
Contra Costa,SAN RAMON REGIONAL MEDICAL CENTER D/P SNF,140000885,CONTRA COSTA,0,0,0,0,0,0,1,1
Contra Costa,SHIELDS NURSING CENTER,140000396,CONTRA COSTA,0,0,<11,0,0,0,1,1
Contra Costa,SHIELDS RICHMOND NURSING CENTER,140000080,CONTRA COSTA,0,0,0,0,<11,0,1,1
Contra Costa,STONEBROOK HEALTHCARE CENTER,140000733,CONTRA COSTA,0,0,0,0,<11,0,1,1
Contra Costa,TAMPICO TERRACE CARE CENTER,140000078,CONTRA COSTA,0,<11,0,0,0,0,1,1
Contra Costa,THE REUTLINGER COMMUNITY,140001185,CONTRA COSTA,0,0,0,0,0,0,1,1
Contra Costa,VALE HEALTHCARE CENTER,140000061,CONTRA COSTA,0,<11,0,0,<11,0,1,1
Contra Costa,VINTAGE ESTATES OF RICHMOND,140000049,CONTRA COSTA,0,0,0,0,0,0,1,1
Contra Costa,WALNUT CREEK SKILLED NURSING & REHABILITATION CENTER,140000083,CONTRA COSTA,0,0,0,0,<11,0,1,1
Contra Costa,WILLOW PASS HEALTHCARE CENTER,140000121,CONTRA COSTA,0,0,0,0,0,0,1,1
Contra Costa,WINDSOR MANOR REHABILITATION CENTER OF CONCORD,140000062,CONTRA COSTA,0,<11,0,0,<11,0,1,1
Contra Costa,WINDSOR ROSEWOOD CARE CENTER,140000082,CONTRA COSTA,0,0,0,0,<11,0,1,1
Contra Costa,MARTINEZ CONVALESCENT HOSPITAL,140000106,CONTRA COSTA,0,0,0,0,0,0,1,1
Contra Costa,PATTERSON CARE CENTER,140000024,CONTRA COSTA,0,0,0,0,0,0,1,1
Del Norte,CRESCENT CITY SKILLED NURSING,10000004,DEL NORTE,0,0,0,0,0,0,1,1
El Dorado,BARTON HOSPITAL D/P SNF,30001525,EL DORADO,0,<11,0,0,<11,0,1,1
El Dorado,GOLD COUNTRY HEALTH CENTER,30000063,EL DORADO,0,0,0,0,0,0,1,1
El Dorado,MARSHALL MEDICAL CENTER D/P SNF,30001064,EL DORADO,0,0,0,0,0,0,1,1
El Dorado,THE PINES AT PLACERVILLE HEALTHCARE CENTER,30000085,EL DORADO,0,0,0,0,<11,0,1,1
El Dorado,WESTERN SLOPE HEALTH CENTER,30000047,EL DORADO,0,0,0,0,<11,0,1,1
Fresno,"BETHEL LUTHERAN HOME, INC.",40000015,FRESNO,11,19,<11,0,18,0,1,1
Fresno,"CALIFORNIA HOME FOR THE AGED, INC.",40000013,FRESNO,0,<11,0,0,<11,0,1,1
Fresno,COMMUNITY SUBACUTE AND TRANSITIONAL CARE CENTER,40000474,FRESNO,0,0,0,0,<11,0,1,1
Fresno,DYCORA TRANSITIONAL HEALTH - CLOVIS,40000019,FRESNO,0,<11,0,0,<11,0,1,1
Fresno,DYCORA TRANSITIONAL HEALTH - COMMUNITY CARE,40000043,FRESNO,0,<11,0,0,<11,0,1,1
Fresno,DYCORA TRANSITIONAL HEALTH - FOWLER,40000033,FRESNO,0,0,0,<11,<11,0,1,1
Fresno,DYCORA TRANSITIONAL HEALTH - FRESNO,40000007,FRESNO,0,118,33,0,36,<11,1,1
Fresno,DYCORA TRANSITIONAL HEALTH - MANCHESTER,40000049,FRESNO,0,20,<11,0,<11,0,1,1
Fresno,DYCORA TRANSITIONAL HEALTH - MEMORY CARE OF FRESNO,40000026,FRESNO,<11,<11,0,0,<11,0,1,1
Fresno,DYCORA TRANSITIONAL HEALTH - REEDLEY,40000067,FRESNO,0,<11,0,0,<11,0,1,1
Fresno,DYCORA TRANSITIONAL HEALTH - SANGER,40000077,FRESNO,<11,<11,<11,0,<11,0,1,1
Fresno,EVERGREEN CARE CENTER,40000012,FRESNO,0,<11,<11,0,<11,0,1,1
Fresno,FOWLER CARE CENTER,40000025,FRESNO,0,<11,0,0,<11,0,1,1
Fresno,FRESNO POSTACUTE CARE,40000004,FRESNO,<11,<11,0,0,<11,0,1,1
Fresno,HEALTHCARE CENTRE OF FRESNO,40000047,FRESNO,<11,<11,0,0,11,0,1,1
Fresno,HORIZON HEALTH AND SUBACUTE CENTER,40000014,FRESNO,0,12,<11,0,15,0,1,1
Fresno,KINGSBURG CENTER,40000002,FRESNO,38,26,<11,0,21,0,1,1
Fresno,"MANNING GARDENS CARE CENTER, INC.",40000036,FRESNO,0,0,0,0,<11,0,1,1
Fresno,NORTH POINTE HEALTHCARE CENTRE,40000059,FRESNO,0,0,0,0,<11,0,1,1
Fresno,OAKWOOD GARDENS CARE CENTER,40000051,FRESNO,0,<11,0,0,<11,0,1,1
Fresno,PACIFIC GARDENS NURSING AND REHABILITATION CENTER,40000063,FRESNO,11,20,0,0,29,0,1,1
Fresno,PALM VILLAGE RETIREMENT COMMUNITY HEALTH CARE CTR.,40000010,FRESNO,0,<11,0,0,17,0,1,1
Fresno,ROLLING HILLS CARE CENTER,40000052,FRESNO,0,0,0,0,<11,0,1,1
Fresno,SIERRA VIEW HOMES INC.,40000060,FRESNO,0,16,<11,0,23,0,1,1
Fresno,SIERRA VISTA HEALTHCARE,40000037,FRESNO,0,0,0,0,<11,0,1,1
Fresno,SUNNYSIDE CONVALESCENT HOSPITAL,40000061,FRESNO,0,<11,0,0,<11,0,1,1
Fresno,THE TERRACES AT SAN JOAQUIN GARDENS VILLAGE,40000076,FRESNO,0,0,0,0,<11,0,1,1
Fresno,TWILIGHT HAVEN,40000064,FRESNO,<11,34,<11,0,29,0,1,1
Fresno,VALLEY HEALTHCARE CENTER,40000069,FRESNO,0,30,<11,<11,23,0,1,1
Fresno,VETERANS HOME OF CALIFORNIA - FRESNO,630014894,FRESNO,0,0,0,0,<11,0,1,1
Fresno,WILLOW CREEK HEALTHCARE CENTER,40001040,FRESNO,<11,<11,0,0,<11,0,1,1
Fresno,COALINGA REGIONAL MEDICAL CENTER DP/SNF,630013160,FRESNO,0,0,0,0,0,0,1,1
Glenn,WILLOWS POST ACUTE,230000044,GLENN,0,0,0,0,<11,0,1,1
Humboldt,"EUREKA REHAB & WELLNESS CENTER, LP",10000078,HUMBOLDT,0,0,0,0,0,0,1,1
Humboldt,"FORTUNA REHABILITATION & WELLNESS CENTER, LP",10000075,HUMBOLDT,0,0,0,0,0,0,1,1
Humboldt,"GRANADA REHAB & WELLNESS CENTER, LP",10000024,HUMBOLDT,0,0,0,0,0,0,1,1
Humboldt,JEROLD PHELPS COMMUNITY HOSPITAL D/P SNF,110000621,HUMBOLDT,0,0,0,0,0,0,1,1
Humboldt,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",10000060,HUMBOLDT,0,0,0,0,0,0,1,1
Humboldt,"PACIFIC REHABILITATION & WELLNESS CENTER, LP",10000051,HUMBOLDT,0,0,0,0,0,0,1,1
Imperial,"IMPERIAL HEIGHTS HEALTHCARE & WELLNESS CENTRE, LLC",90000015,IMPERIAL,0,23,<11,0,33,<11,1,1
Imperial,IMPERIAL MANOR,90000067,IMPERIAL,0,<11,0,<11,32,0,1,1
Imperial,VALLEY CONVALESCENT CENTER,90000092,IMPERIAL,0,44,17,0,31,0,1,1
Inyo,BISHOP CARE CENTER,240001854,INYO,0,0,0,0,0,0,1,1
Inyo,SOUTHERN INYO HOSPITAL D/P SNF,240001102,INYO,0,0,0,0,0,0,1,1
Kern,BELLA SERA,120000323,KERN,0,0,0,0,0,0,1,1
Kern,BROOKDALE RIVERWALK SNF (CA),120001395,KERN,<11,<11,<11,0,11,0,1,1
Kern,DELANO DISTRICT SKILLED NURSING FACILITY,120000638,KERN,<11,<11,0,<11,<11,0,1,1
Kern,DELANO REGIONAL MEDICAL CENTER D/P SNF,120000399,KERN,0,0,0,0,<11,0,1,1
Kern,GOLDEN LIVING CENTER - SHAFTER,120000375,KERN,12,48,<11,0,23,0,1,1
Kern,HEIGHT STREET SKILLED CARE,120000331,KERN,0,0,0,0,<11,0,1,1
Kern,KERN RIVER TRANSITIONAL CARE,630017642,KERN,<11,<11,0,0,18,0,1,1
Kern,KERN VALLEY HEALTHCARE DISTRICT D/P SNF,120000695,KERN,0,0,0,0,0,0,1,1
Kern,"KINGSTON HEALTHCARE CENTER, LLC",120000377,KERN,0,104,19,0,58,0,1,1
Kern,PARKVIEW JULIAN CONVALESCENT,120000365,KERN,<11,<11,<11,0,19,0,1,1
Kern,RIDGECREST REGIONAL TRANSITIONAL CARE AND REHABILITATION UNIT,630013665,KERN,0,0,0,0,0,0,1,1
Kern,ROSEWOOD HEALTH FACILITY,120000369,KERN,<11,<11,0,0,<11,0,1,1
Kern,SAN JOAQUIN NURSING CENTER,120000322,KERN,0,<11,0,0,<11,0,1,1
Kern,THE ORCHARDS POST-ACUTE,120000320,KERN,0,25,<11,0,30,0,1,1
Kern,THE REHABILITATION CENTER OF BAKERSFIELD,120000328,KERN,29,67,<11,<11,75,<11,1,1
Kern,VALLEY CONVALESCENT HOSPITAL,120000355,KERN,0,49,<11,0,26,0,1,1
Kern,VALLEY VIEW CARE CENTER,120000325,KERN,0,0,0,0,<11,0,1,1
Kern,EVERGREEN ARVIN HEALTHCARE,120000373,KERN,<11,<11,0,0,<11,0,1,1
Kern,EVERGREEN BAKERSFIELD POST ACUTE CARE,120000379,KERN,<11,63,<11,0,35,0,1,1
Kings,"HACIENDA POST ACUTE, INC.",40000042,KINGS,0,89,23,0,75,0,1,1
Kings,HANFORD POST ACUTE,40001364,KINGS,0,0,0,0,<11,0,1,1
Kings,KINGS NURSING & REHABILITATION CENTER,40001366,KINGS,0,<11,0,0,<11,0,1,1
Lake,LAKEPORT POST ACUTE,110001255,LAKE,0,0,0,0,0,0,1,1
Lake,MEADOWOOD NURSING CENTER,110001250,LAKE,0,0,0,0,0,0,1,1
Lake,ROCKY POINT CARE CENTER,110001248,LAKE,0,0,0,0,0,0,1,1
Lassen,LASSEN NURSING & REHABILITATION CENTER,230000039,LASSEN,0,0,0,0,0,0,1,1
Los Angeles,AFFINITY HEALTHCARE CENTER,940000049,LOS ANGELES,0,34,15,0,37,0,1,1
Los Angeles,ALAMEDA CARE CENTER,920000077,LOS ANGELES,0,54,21,0,37,<11,1,1
Los Angeles,ALAMITOS BELMONT REHABILITATION HOSPITAL,940000062,LOS ANGELES,0,0,0,0,<11,0,1,1
Los Angeles,ALCOTT REHABILITATION HOSPITAL,970000001,LOS ANGELES,0,0,0,0,<11,<11,1,1
Los Angeles,ALDEN TERRACE CONVALESCENT HOSPITAL,970000121,LOS ANGELES,25,107,24,0,39,0,1,1
Los Angeles,ALEXANDRIA CARE CENTER,970000003,LOS ANGELES,0,51,24,0,38,0,1,1
Los Angeles,"ALHAMBRA HEALTHCARE & WELLNESS CENTRE, LP",950000101,LOS ANGELES,0,<11,<11,0,13,0,1,1
Los Angeles,ALHAMBRA HOSPITAL MEDICAL CENTER D/P SNF,930000793,LOS ANGELES,0,0,0,0,<11,0,1,1
Los Angeles,ALL SAINTS HEALTHCARE,920000001,LOS ANGELES,0,<11,0,0,<11,0,1,1
Los Angeles,ANGELS NURSING HEALTH CENTER,970000123,LOS ANGELES,0,<11,0,0,<11,0,1,1
Los Angeles,ANTELOPE VALLEY CARE CENTER,920000280,LOS ANGELES,<11,13,<11,<11,25,0,1,1
Los Angeles,ARARAT CONVALESCENT HOSPITAL,970000091,LOS ANGELES,0,<11,<11,0,16,0,1,1
Los Angeles,ARARAT NURSING FACILITY,920000292,LOS ANGELES,<11,23,0,0,21,0,1,1
Los Angeles,ARBOR GLEN CARE CENTER,950000012,LOS ANGELES,0,56,<11,0,21,0,1,1
Los Angeles,ARCADIA CARE CENTER,950000045,LOS ANGELES,35,41,<11,0,14,0,1,1
Los Angeles,ARTESIA CHRISTIAN HOME INC.,940000093,LOS ANGELES,0,0,0,0,0,0,1,1
Los Angeles,ASTORIA NURSING AND REHAB CENTER,920000002,LOS ANGELES,0,80,18,0,61,0,1,1
Los Angeles,ATHERTON BAPTIST HOME-SAM B. WEST,950000039,LOS ANGELES,0,<11,<11,0,11,0,1,1
Los Angeles,ATLANTIC MEMORIAL HEALTHCARE CENTER,940000007,LOS ANGELES,0,42,<11,0,19,0,1,1
Los Angeles,AUTUMN HILLS HEALTH CARE CENTER,920000306,LOS ANGELES,0,56,14,0,26,0,1,1
Los Angeles,AVALON VILLA CARE CENTER,940000051,LOS ANGELES,13,22,<11,0,14,0,1,1
Los Angeles,BALDWIN GARDENS NURSING CENTER,950000015,LOS ANGELES,<11,20,<11,0,<11,0,1,1
Los Angeles,BAY CREST CARE CENTER,910000009,LOS ANGELES,0,<11,<11,0,<11,0,1,1
Los Angeles,BEACHSIDE POST ACUTE,940000097,LOS ANGELES,0,<11,<11,0,<11,0,1,1
Los Angeles,BEACHWOOD POST-ACUTE & REHAB,910000017,LOS ANGELES,0,48,<11,0,25,<11,1,1
Los Angeles,BEACON HEALTHCARE CENTER,950000054,LOS ANGELES,0,20,<11,0,13,0,1,1
Los Angeles,BEL TOOREN VILLA CONVALESCENT HOSPITAL,940000047,LOS ANGELES,0,205,11,0,20,<11,1,1
Los Angeles,BEL VISTA HEALTHCARE CENTER,940000010,LOS ANGELES,0,0,0,0,<11,<11,1,1
Los Angeles,BELL CONVALESCENT HOSPITAL,940000011,LOS ANGELES,0,51,27,0,30,0,1,1
Los Angeles,BELLFLOWER POST ACUTE,940000013,LOS ANGELES,0,<11,0,0,<11,0,1,1
Los Angeles,BERKLEY EAST CONVALESCENT HOSPITAL,910000014,LOS ANGELES,0,0,0,0,<11,0,1,1
Los Angeles,BERKLEY VALLEY CONVALESCENT HOSPITAL,920000049,LOS ANGELES,32,57,<11,0,44,0,1,1
Los Angeles,BERKLEY WEST CONVALESCENT HOSPITAL,910000013,LOS ANGELES,0,0,0,0,0,0,1,1
Los Angeles,BEVERLY WEST HEALTHCARE,910000322,LOS ANGELES,0,44,13,0,17,<11,1,1
Los Angeles,BIXBY KNOLLS TOWERS HEALTH CARE & REHAB CENTER,940000016,LOS ANGELES,0,<11,<11,0,<11,0,1,1
Los Angeles,BONNIE BRAE SKILLED NURSING,970000125,LOS ANGELES,<11,20,<11,0,18,0,1,1
Los Angeles,BRENTWOOD HEALTH CARE CENTER,910000073,LOS ANGELES,0,<11,0,0,0,0,1,1
Los Angeles,BRIARCREST NURSING CENTER,940000012,LOS ANGELES,0,<11,0,0,17,0,1,1
Los Angeles,BRIER OAK ON SUNSET,970000005,LOS ANGELES,16,12,<11,0,<11,0,1,1
Los Angeles,BRIGHTON CARE CENTER,970000194,LOS ANGELES,0,78,16,0,62,0,1,1
Los Angeles,BROADWAY BY THE SEA,940000005,LOS ANGELES,<11,74,16,0,35,0,1,1
Los Angeles,BROADWAY HEALTHCARE CENTER,950000030,LOS ANGELES,0,<11,0,0,<11,0,1,1
Los Angeles,BROADWAY MANOR CARE CENTER,920000021,LOS ANGELES,0,23,<11,0,14,0,1,1
Los Angeles,BROOKDALE NORTHRIDGE,920000310,LOS ANGELES,0,0,0,0,<11,0,1,1
Los Angeles,BROOKDALE SAN DIMAS,950000277,LOS ANGELES,0,0,0,0,<11,0,1,1
Los Angeles,BROOKFIELD HEALTHCARE CENTER,940000069,LOS ANGELES,<11,90,14,0,17,0,1,1
Los Angeles,BUENA VENTURA POST ACUTE CARE CENTER,940000020,LOS ANGELES,<11,75,15,0,26,0,1,1
Los Angeles,BURBANK HEALTHCARE AND REHABILITATION CENTER,920000071,LOS ANGELES,0,65,22,0,40,0,1,1
Los Angeles,BURLINGTON CONVALESCENT HOSPITAL,970000127,LOS ANGELES,0,39,<11,0,29,0,1,1
Los Angeles,CALIFORNIA HEALTHCARE AND REHABILITATION CENTER,920000050,LOS ANGELES,0,62,14,0,51,<11,1,1
